codigo,descripcion,capitulo
A18.8,"Tuberculosis de otros órganos especificados","Ciertas enfermedades infecciosas y parasitarias"
A19.0,"Tuberculosis miliar aguda de un solo sitio especificado","Ciertas enfermedades infecciosas y parasitarias"
A19.1,"Tuberculosis miliar aguda de sitios múltiples","Ciertas enfermedades infecciosas y parasitarias"
A19.2,"Tuberculosis miliar aguda, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A19.8,"Otras tuberculosis miliares","Ciertas enfermedades infecciosas y parasitarias"
A19.9,"Tuberculosis miliar, sin otra especificación","Ciertas enfermedades infecciosas y parasitarias"
A20.0,"Peste bubónica","Ciertas enfermedades infecciosas y parasitarias"
A20.1,"Peste celulocutánea","Ciertas enfermedades infecciosas y parasitarias"
A20.2,"Peste neumónica","Ciertas enfermedades infecciosas y parasitarias"
A20.3,"Meningitis por peste","Ciertas enfermedades infecciosas y parasitarias"
A20.7,"Peste septicémica","Ciertas enfermedades infecciosas y parasitarias"
A20.8,"Otras formas de peste","Ciertas enfermedades infecciosas y parasitarias"
A20.9,"Peste, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A21.0,"Tularemia ulceroglandular","Ciertas enfermedades infecciosas y parasitarias"
A21.1,"Tularemia oculoglandular","Ciertas enfermedades infecciosas y parasitarias"
A21.2,"Tularemia pulmonar","Ciertas enfermedades infecciosas y parasitarias"
A21.3,"Tularemia gastrointestinal","Ciertas enfermedades infecciosas y parasitarias"
A21.7,"Tularemia generalizada","Ciertas enfermedades infecciosas y parasitarias"
A21.8,"Otras formas de tularemia","Ciertas enfermedades infecciosas y parasitarias"
A21.9,"Tularemia, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A22.0,"Carbunco cutáneo","Ciertas enfermedades infecciosas y parasitarias"
A22.1,"Carbunco pulmonar","Ciertas enfermedades infecciosas y parasitarias"
A22.2,"Carbunco gastrointestinal","Ciertas enfermedades infecciosas y parasitarias"
A22.7,"Carbunco septicémico","Ciertas enfermedades infecciosas y parasitarias"
A22.8,"Otras formas de carbunco","Ciertas enfermedades infecciosas y parasitarias"
A22.9,"Carbunco, no especificado","Ciertas enfermedades infecciosas y parasitarias"
A23.0,"Brucelosis debida a Brucella melitensis","Ciertas enfermedades infecciosas y parasitarias"
A23.1,"Brucelosis debida a Brucella abortus","Ciertas enfermedades infecciosas y parasitarias"
A23.2,"Brucelosis debida a Brucella suis","Ciertas enfermedades infecciosas y parasitarias"
A23.3,"Brucelosis debida a Brucella canis","Ciertas enfermedades infecciosas y parasitarias"
A23.8,"Otras brucelosis","Ciertas enfermedades infecciosas y parasitarias"
A23.9,"Brucelosis, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A24.0,Muermo,"Ciertas enfermedades infecciosas y parasitarias"
A24.1,"Melioidosis aguda y fulminante","Ciertas enfermedades infecciosas y parasitarias"
A24.2,"Melioidosis subaguda y crónica","Ciertas enfermedades infecciosas y parasitarias"
A24.3,"Otras melioidosis","Ciertas enfermedades infecciosas y parasitarias"
A24.4,"Melioidosis, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A25.0,Espirilosis,"Ciertas enfermedades infecciosas y parasitarias"
A25.1,Estreptobacilosis,"Ciertas enfermedades infecciosas y parasitarias"
A25.9,"Fiebre por mordedura de rata, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A26.0,"Erisipeloide cutáneo","Ciertas enfermedades infecciosas y parasitarias"
A26.7,"Septicemia por Erysipelothrix","Ciertas enfermedades infecciosas y parasitarias"
A26.8,"Otras formas de erisipeloide","Ciertas enfermedades infecciosas y parasitarias"
A26.9,"Erisipeloide, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A27.0,"Leptospirosis icterohemorrágica","Ciertas enfermedades infecciosas y parasitarias"
A27.8,"Otras formas de leptospirosis","Ciertas enfermedades infecciosas y parasitarias"
A27.9,"Leptospirosis, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A28.0,Pasteurelosis,"Ciertas enfermedades infecciosas y parasitarias"
A28.1,"Enfermedad por rasguño de gato","Ciertas enfermedades infecciosas y parasitarias"
A28.2,"Yersiniosis extraintestinal","Ciertas enfermedades infecciosas y parasitarias"
A28.8,"Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte","Ciertas enfermedades infecciosas y parasitarias"
A28.9,"Enfermedad zoonótica bacteriana, sin otra especificación","Ciertas enfermedades infecciosas y parasitarias"
A30.0,"Lepra indeterminada","Ciertas enfermedades infecciosas y parasitarias"
A30.1,"Lepra tuberculoide","Ciertas enfermedades infecciosas y parasitarias"
A30.2,"Lepra tuberculoide limítrofe","Ciertas enfermedades infecciosas y parasitarias"
A30.3,"Lepra limítrofe","Ciertas enfermedades infecciosas y parasitarias"
A30.4,"Lepra lepromatosa limítrofe","Ciertas enfermedades infecciosas y parasitarias"
A30.5,"Lepra lepromatosa","Ciertas enfermedades infecciosas y parasitarias"
A30.8,"Otras formas de lepra","Ciertas enfermedades infecciosas y parasitarias"
A30.9,"Lepra, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A31.0,"Infecciones por micobacterias pulmonares","Ciertas enfermedades infecciosas y parasitarias"
A31.1,"Infección cutánea por micobacterias","Ciertas enfermedades infecciosas y parasitarias"
A31.8,"Otras infecciones por micobacterias","Ciertas enfermedades infecciosas y parasitarias"
A31.9,"Infección por micobacteria, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A32.0,"Listeriosis cutánea","Ciertas enfermedades infecciosas y parasitarias"
A32.1,"Meningitis y meningoencefalitis listeriana","Ciertas enfermedades infecciosas y parasitarias"
A32.7,"Septicemia listeriana","Ciertas enfermedades infecciosas y parasitarias"
