codigo,descripcion,capitulo
S30.2,"Contusión de órganos genitales externos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S30.7,"Traumatismos superficiales múltiples del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S30.8,"Otros traumatismos superficiales del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S30.9,"Traumatismo superficial del abdomen, de la región lumbosacra y de la pelvis, parte no especificada","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S31.0,"Herida de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S31.1,"Herida de la pared abdominal","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S31.2,"Herida del pene","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S31.3,"Herida del escroto y de los testículos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S31.4,"Herida de la vagina y de la vulva","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S31.5,"Herida de otros órganos genitales externos y de los no especificados","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S31.7,"Heridas múltiples del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S31.8,"Heridas de otras partes y de las no especificadas del abdomen","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S32.0,"Fractura de vértebra lumbar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S32.1,"Fractura del sacro","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S32.2,"Fractura del cóccix","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S32.3,"Fractura del hueso iliaco","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S32.4,"Fractura del acetábulo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S32.5,"Fractura del pubis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S32.7,"Fracturas múltiples de la columna lumbar y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S32.8,"Fractura de otras partes y de las no especificadas de la columna lumbar y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S33.0,"Ruptura traumática de disco intervertebral lumbar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S33.1,"Luxación de vértebra lumbar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S33.2,"Luxación de articulación sacrococcígea y sacroiliaca","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S33.3,"Luxación de otras partes y de las no especificadas de la columna lumbar y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S33.4,"Ruptura traumática de la sínfisis del pubis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S33.5,"Esguinces y torceduras de la columna lumbar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S33.6,"Esguinces y torceduras de la articulación sacroiliaca","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S33.7,"Esguinces y torceduras de otras partes y de las no especificadas de la columna lumbar y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S34.0,"Concusión y edema de la médula espinal lumbar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S34.1,"Otro traumatismo de la médula espinal lumbar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S34.2,"Traumatismo de raíz nerviosa de la columna lumbar y sacra","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S34.3,"Traumatismo de la cola de caballo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S34.4,"Traumatismo del plexo lumbosacro","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S34.5,"Traumatismo de nervios(s) simpático(s) lumbar(es), sacro(s) y pélvico(s)","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S34.6,"Traumatismo de nervio(s) periférico(s) del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S34.8,"Traumatismo de otros nervios a nivel del abdomen, de la región lumbosacra y de la pelvis y de los no especificados","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.0,"Traumatismo de la aorta abdominal","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.1,"Traumatismo de la vena cava inferior","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.2,"Traumatismo de arterias celíacas y mesentéricas","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.3,"Traumatismo de venas porta y esplénica","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.4,"Traumatismo de vasos sanguíneos renales","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.5,"Traumatismo de vasos sanguíneos iliacos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.7,"Traumatismo de múltiples vasos sanguíneos a nivel del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.8,"Traumatismo de otros vasos sanguíneos a nivel del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S35.9,"Traumatismo de vasos sanguíneos no especificados a nivel del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.0,"Traumatismo del bazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.1,"Traumatismo del hígado y de la vesícula biliar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.2,"Traumatismo del páncreas","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.3,"Traumatismo del estómago","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.4,"Traumatismo del intestino delgado","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.5,"Traumatismo del colon","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.6,"Traumatismo del recto","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.7,"Traumatismo de múltiples órganos intraabdominales","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.8,"Traumatismo de otros órganos intraabdominales","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S36.9,"Traumatismo de órgano intraabdominal no especificado","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.0,"Traumatismo del riñón","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.1,"Traumatismo del uréter","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.2,"Traumatismo de la vejiga","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.3,"Traumatismo de la uretra","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.4,"Traumatismo del ovario","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.5,"Traumatismo de la trompa de Falopio","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.6,"Traumatismo del útero","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.7,"Traumatismo de múltiples órganos pélvicos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.8,"Traumatismo de otros órganos pélvicos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S37.9,"Traumatismo de órgano pélvico no especificado","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S38.0,"Traumatismo por aplastamiento de órganos genitales externos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S38.1,"Traumatismo por aplastamiento de otras partes y de las no especificadas del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S38.2,"Amputación traumática de órganos genitales externos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S38.3,"Amputación traumática de otras partes y de las no especificadas del abdomen, región lumbosacra y pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S39.0,"Traumatismo de tendón y de músculos del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S39.6,"Traumatismo de órgano(s) intraabdominal(es) con órgano(s) pélvico(s)","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S39.7,"Otros traumatismos múltiples del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S39.8,"Otros traumatismos especificados del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S39.9,"Traumatismo no especificado del abdomen, de la región lumbosacra y de la pelvis","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S40.0,"Contusión del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S40.7,"Traumatismos superficiales múltiples del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S40.8,"Otros traumatismos superficiales del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S40.9,"Traumatismo superficial no especificado del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S41.0,"Herida del hombro","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S41.1,"Herida del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S41.7,"Heridas múltiples del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S41.8,"Herida de otras partes y de las no especificadas del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S42.0,"Fractura de la clavícula","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S42.1,"Fractura del omóplato","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S42.2,"Fractura de la epífisis superior del húmero","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S42.3,"Fractura de la diáfisis del húmero","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S42.4,"Fractura de la epífisis inferior del húmero","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S42.7,"Fracturas múltiples de la clavícula, del omóplato y del húmero","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S42.8,"Fractura de otras partes del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S42.9,"Fractura del hombro y del brazo, parte no especificada","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S43.0,"Luxación de la articulación del hombro","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S43.1,"Luxación de la articulación acromioclavicular","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S43.2,"Luxación de la articulación esternoclavicular","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S43.3,"Luxación de otras partes de la cintura escapular y de las no especificadas","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S43.4,"Esguinces y torceduras de la articulación del hombro","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S43.5,"Esguinces y torceduras de la articulación acromioclavicular","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S43.6,"Esguinces y torceduras de la articulación esternoclavicular","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S43.7,"Esguinces y torceduras de otras partes y de las no especificadas de la cintura escapular","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.0,"Traumatismo del nervio cubital a nivel del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.1,"Traumatismo del nervio mediano a nivel del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.2,"Traumatismo del nervio radial a nivel del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.3,"Traumatismo del nervio axilar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.4,"Traumatismo del nervio musculocutáneo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.5,"Traumatismo del nervio sensitivo cutáneo a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.7,"Traumatismo de múltiples nervios a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.8,"Traumatismo de otros nervios a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S44.9,"Traumatismo de nervio no especificado a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S45.0,"Traumatismo de la arteria axilar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S45.1,"Traumatismo de la arteria braquial","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S45.2,"Traumatismo de la vena axilar o braquial","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S45.3,"Traumatismo de vena superficial a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S45.7,"Traumatismo de múltiples vasos sanguíneos a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S45.8,"Traumatismo de otros vasos sanguíneos a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S45.9,"Traumatismo de vaso sanguíneo no especificado a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S46.0,"Traumatismo del tendón del manguito rotatorio del hombro","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S46.1,"Traumatismo del tendón y músculo de la cabeza larga del bíceps","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S46.2,"Traumatismo del tendón y músculo de otras partes del bíceps","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S46.3,"Traumatismo del tendón y músculo del tríceps","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S46.7,"Traumatismo de múltiples tendones y músculos a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S46.8,"Traumatismo de otros tendones y músculos a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S46.9,"Traumatismo de tendón y músculo no especificado, a nivel del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S47,"Traumatismo por aplastamiento del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S48.0,"Amputación traumática en la articulación del hombro","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S48.1,"Amputación traumática a nivel entre el hombro y el codo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S48.9,"Amputación traumática del hombro y del brazo, nivel no especificado","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S49.7,"Traumatismos múltiples del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S49.8,"Otros traumatismos especificados del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S49.9,"Traumatismos no especificados del hombro y del brazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S50.0,"Contusión del codo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S50.1,"Contusión de otras partes del antebrazo y de las no especificadas","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S50.7,"Traumatismos superficiales múltiples del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S50.8,"Otros traumatismos superficiales del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S50.9,"Traumatismo superficial del antebrazo, no especificado","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S51.0,"Herida del codo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S51.7,"Heridas múltiples del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S51.8,"Herida de otras partes del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S51.9,"Herida del antebrazo, parte no especificada","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.0,"Fractura de la epífisis superior del cúbito","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.1,"Fractura de la epífisis superior del radio","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.2,"Fractura de la diáfisis del cúbito","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.3,"Fractura de la diáfisis del radio","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.4,"Fractura de la diáfisis del cúbito y del radio","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.5,"Fractura de la epífisis inferior del radio","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.6,"Fractura de la epífisis inferior del cúbito y del radio","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.7,"Fracturas múltiples del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.8,"Fractura de otras partes del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S52.9,"Fractura del antebrazo, parte no especificada","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S53.0,"Luxación de la cabeza del radio","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S53.1,"Luxación del codo, no especificada","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S53.2,"Ruptura traumática del ligamento lateral del radio","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S53.3,"Ruptura traumática del ligamento lateral del cúbito","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S53.4,"Esguinces y torceduras del codo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S54.0,"Traumatismo del nervio cubital a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S54.1,"Traumatismo del nervio mediano a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S54.2,"Traumatismo del nervio radial a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S54.3,"Traumatismo del nervio sensorial cutáneo a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S54.7,"Traumatismo de múltiples nervios a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S54.8,"Traumatismo de otros nervios a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S54.9,"Traumatismo de nervio no especificado a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S55.0,"Traumatismo de la arteria cubital a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S55.1,"Traumatismo de la arteria radial a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S55.2,"Traumatismo de vena a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S55.7,"Traumatismo de múltiples vasos sanguíneos a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S55.8,"Traumatismo de otros vasos sanguíneos a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S55.9,"Traumatismo de vaso sanguíneo no especificado a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S56.0,"Traumatismo del tendón y músculo flexor del pulgar a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S56.1,"Traumatismo del tendón y músculo flexor de otro(s) dedo(s) a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S56.2,"Traumatismo de otro tendón y músculo flexor a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S56.3,"Traumatismo de tendones y músculos abductores y extensores del pulgar a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S56.4,"Traumatismo del tendón y músculo extensor de otro(s) dedo(s) a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S56.5,"Traumatismo de otro tendón y músculo extensor a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S56.7,"Traumatismo de múltiples tendones y músculos a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S56.8,"Traumatismo de otros tendones y músculos y de los no especificados, a nivel del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S57.0,"Traumatismo por aplastamiento del codo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S57.8,"Traumatismo por aplastamiento de otras partes del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S57.9,"Traumatismo por aplastamiento del antebrazo, parte no especificada","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S58.0,"Amputación traumática a nivel del codo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S58.1,"Amputación traumática nivel entre el codo y la muñeca","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S58.9,"Amputación traumática del antebrazo, nivel no especificado","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S59.7,"Traumatismos múltiples del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S59.8,"Otros traumatismos especificados del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S59.9,"Traumatismo no especificado del antebrazo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S60.0,"Contusión de dedo(s) de la mano, sin daño de la(s) uña(s)","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S60.1,"Contusión de dedo(s) de la mano con daño de la(s) uña(s)","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S60.2,"Contusión de otras partes de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S60.7,"Traumatismos superficiales múltiples de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S60.8,"Otros traumatismos superficiales de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S60.9,"Traumatismo superficial de la muñeca y de la mano, no especificado","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S61.0,"Herida de dedo(s) de la mano, sin daño de la(s) uña(s)","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S61.1,"Herida de dedo(s) de la mano, con daño de la(s) uña(s)","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S61.7,"Heridas múltiples de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S61.8,"Herida de otras partes de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S61.9,"Herida de la muñeca y de la mano, parte no especificada","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.0,"Fractura del hueso escafoides [navicular] de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.1,"Fractura de otro(s) hueso(s) del carpo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.2,"Fractura del primer metacarpiano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.3,"Fractura de otros huesos metacarpianos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.4,"Fracturas múltiples de huesos metacarpianos","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.5,"Fractura del pulgar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.6,"Fractura de otro dedo de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.7,"Fracturas múltiples de los dedos de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S62.8,"Fractura de otras partes y de las no especificadas de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S63.0,"Luxación de la muñeca","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S63.1,"Luxación de dedos de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S63.2,"Luxaciones múltiples de dedos de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S63.3,"Ruptura traumática de ligamentos de la muñeca y del carpo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S63.4,"Ruptura traumática de ligamentos del dedo de la mano en la(s) articulación(es) metacarpofalángica e interfalángica","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S63.5,"Esguince y torcedura de la muñeca","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S63.6,"Esguinces y torceduras de dedo(s) de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S63.7,"Esguinces y torceduras de otras partes y de las no especificadas de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S64.0,"Traumatismo del nervio cubital a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S64.1,"Traumatismo del nervio mediano a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S64.2,"Traumatismo del nervio radial a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S64.3,"Traumatismo del nervio digital del pulgar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S64.4,"Traumatismo del nervio digital de otro dedo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S64.7,"Traumatismo de múltiples nervios a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S64.8,"Traumatismo de otros nervios a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S64.9,"Traumatismo de nervio no especificado a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.0,"Traumatismo de la arteria cubital a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.1,"Traumatismo de la arteria radial a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.2,"Traumatismo del arco palmar superficial","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.3,"Traumatismo del arco palmar profundo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.4,"Traumatismo de vaso(s) sanguíneo(s) del pulgar","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.5,"Traumatismo de vaso(s) sanguíneo(s) de otro dedo","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.7,"Traumatismo de múltiples vasos sanguíneos a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.8,"Traumatismo de otros vasos sanguíneos a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S65.9,"Traumatismo de vaso sanguíneo no especificado, a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S66.0,"Traumatismo del tendón y músculo flexor largo del pulgar a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S66.1,"Traumatismo del tendón y músculo flexor de otro dedo a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S66.2,"Traumatismo del tendón y músculo extensor del pulgar a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S66.3,"Traumatismo del tendón y músculo extensor de otro(s) dedo(s) a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
S66.4,"Traumatismo del músculo y tendón intrínseco del pulgar a nivel de la muñeca y de la mano","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
